"date","location","value","variable_short","variable_long"
2017-01-19,"SO",1,"konk_eroeff_noga_E","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"VD",2,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"VD",3,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"VD",1,"konk_eroeff_noga_R","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"VS",1,"konk_eroeff_noga_C","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"ZH",3,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"ZH",1,"konk_eroeff_noga_S","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"ZH",2,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-19,"ZH",1,"konk_eroeff_noga_H","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"AG",2,"konk_eroeff_noga_M","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"AG",1,"konk_eroeff_noga_N","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"LU",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"SZ",1,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"TG",1,"konk_eroeff_noga_M","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"TI",1,"konk_eroeff_noga_M","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"TI",1,"konk_eroeff_noga_C","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"VD",1,"konk_eroeff_noga_F","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"VD",1,"konk_eroeff_noga_M","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"VD",1,"konk_eroeff_noga_S","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"VD",2,"konk_eroeff_noga_N","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"VD",1,"konk_eroeff_noga_G","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
2017-01-20,"ZH",1,"konk_eroeff_noga_M","Anzahl Eröffnungen erstmaliger Konkursverfahren (exkl. Verfahren nach Art. 731b OR) in NOGA-Abschnitt"
